,id_mapa,anio,mes,dia,fecha,franja,tipo,subtipo,uso_armas,barrio,comuna,latitud,longitud,victimas
0,HC-2020-0007157,2020,Enero,Sábado,04/01/2020,10,Homicidio,Siniestro Vial,,Villa Crespo,15.0,-34.592133,-58.439106,1.0
6,HC-2020-0009055,2020,Enero,Domingo,05/01/2020,20,Homicidio,Siniestro Vial,,Flores,7.0,-34.646459,-58.450195,1.0
7,HC-2020-0022499,2020,Enero,Sábado,11/01/2020,6,Homicidio,Siniestro Vial,,Balvanera,3.0,-34.609272,-58.393379,1.0
8,HC-2020-0028163,2020,Enero,Martes,14/01/2020,6,Homicidio,Siniestro Vial,,San Cristóbal,3.0,-34.624766,-58.410372,1.0
9,HC-2020-0029931,2020,Enero,Martes,14/01/2020,21,Homicidio,Siniestro Vial,,Monserrat,1.0,-34.609303,-58.390526,1.0
10,HC-2020-0041208,2020,Enero,Lunes,20/01/2020,12,Homicidio,Siniestro Vial,,Villa Soldati,8.0,-34.652253,-58.450319,1.0
11,HC-2020-0054744,2020,Enero,Lunes,27/01/2020,0,Homicidio,Siniestro Vial,,Monserrat,1.0,-34.616483,-58.381571,1.0
12,HC-2020-0062860,2020,Enero,Jueves,30/01/2020,7,Homicidio,Siniestro Vial,,Recoleta,2.0,-34.598042,-58.406631,1.0
13,HC-2020-0083127,2020,Febrero,Sábado,08/02/2020,5,Homicidio,Siniestro Vial,,Constitución,1.0,-34.622145,-58.381001,1.0
14,HC-2020-0091961,2020,Febrero,Miércoles,12/02/2020,11,Homicidio,Siniestro Vial,,Almagro,5.0,-34.618151,-58.417897,1.0
15,HC-2020-0107756,2020,Febrero,Martes,18/02/2020,21,Homicidio,Siniestro Vial,,Balvanera,3.0,-34.617949,-58.406032,1.0
16,HC-2020-0111735,2020,Febrero,Jueves,20/02/2020,12,Homicidio,Siniestro Vial,,Parque Chas,15.0,-34.58181,-58.473898,1.0
17,HC-2020-0124549,2020,Febrero,Jueves,27/02/2020,2,Homicidio,Siniestro Vial,,Villa Devoto,11.0,-34616.0,-58.513983,1.0
18,HC-2020-0129167,2020,Febrero,Viernes,28/02/2020,14,Homicidio,Siniestro Vial,,San Telmo,1.0,-34.62519,-58.367979,1.0
19,HC-2020-0130909,2020,Febrero,Sábado,29/02/2020,13,Homicidio,Siniestro Vial,,San Nicolás,1.0,-34.59854,-58.371323,1.0
20,HC-2020-0144674,2020,Marzo,Jueves,05/03/2020,23,Homicidio,Siniestro Vial,,Balvanera,3.0,-34.613907,-58.396171,1.0
21,HC-2020-0151968,2020,Marzo,Lunes,09/03/2020,14,Homicidio,Siniestro Vial,,Belgrano,13.0,-34.541808,-58.449197,1.0
22,HC-2020-0155967,2020,Marzo,Martes,10/03/2020,21,Homicidio,Siniestro Vial,,Boedo,5.0,-34.628465,-58.419726,1.0
23,HC-2020-0163985,2020,Marzo,Viernes,13/03/2020,17,Homicidio,Siniestro Vial,,Balvanera,3.0,-34.605568,-58.405718,1.0
24,HC-2020-0165293,2020,Marzo,Sábado,14/03/2020,16,Homicidio,Siniestro Vial,,Recoleta,2.0,-34.594902,-58.414443,1.0
25,HC-2020-0191105,2020,Abril,Martes,07/04/2020,6,Homicidio,Siniestro Vial,,Villa Lugano,8.0,-34.663224,-58.472142,1.0
26,HC-2020-0209076,2020,Abril,Viernes,24/04/2020,7,Homicidio,Siniestro Vial,,Mataderos,9.0,-34.651614,-58.507977,1.0
27,HC-2020-0241825,2020,Mayo,Martes,12/05/2020,5,Homicidio,Siniestro Vial,,Balvanera,3.0,-34.608474,-58.402902,1.0
28,HC-2020-0244064,2020,Mayo,Domingo,17/05/2020,6,Homicidio,Siniestro Vial,,Belgrano,13.0,-34.551405,-58.433052,1.0
29,HC-2020-0245075,2020,Mayo,Lunes,18/05/2020,8,Homicidio,Siniestro Vial,,Villa Lugano,8.0,-34.684542,-58.482673,1.0
30,HC-2020-0247548,2020,Mayo,Martes,19/05/2020,10,Homicidio,Siniestro Vial,,Villa Crespo,15.0,-34.60209362,-58.44254353,1.0
31,HC-2020-0291706,2020,Junio,Miércoles,10/06/2020,14,Homicidio,Siniestro Vial,,Liniers,9.0,-34.638866,-58.529089,1.0
32,HC-2020-0310858,2020,Junio,Martes,16/06/2020,15,Homicidio,Siniestro Vial,,Caballito,6.0,-34.606392,-58.451476,1.0
33,HC-2020-0377797,2020,Junio,Martes,30/06/2020,8,Homicidio,Siniestro Vial,,Mataderos,9.0,-34.657884,-58.493442,1.0
34,HC-2020-0428111,2020,Julio,Viernes,10/07/2020,23,Homicidio,Siniestro Vial,,Villa Crespo,15.0,-34.596351,-58.442593,1.0
35,HC-2020-0442168,2020,Julio,Domingo,19/07/2020,6,Homicidio,Siniestro Vial,,Nuñez,13.0,-34.535237,-58.467497,1.0
36,HC-2020-0461132,2020,Agosto,Domingo,02/08/2020,3,Homicidio,Siniestro Vial,,Balvanera,3.0,-34.609222,-58.411784,1.0
37,HC-2020-0463451,2020,Agosto,Martes,04/08/2020,5,Homicidio,Siniestro Vial,,Parque Chacabuco,7.0,-34.636113,-58.450821,1.0
38,HC-2020-0468717,2020,Agosto,Viernes,07/08/2020,18,Homicidio,Siniestro Vial,,Palermo,14.0,-34.587788,-58.420172,1.0
39,HC-2020-0498750,2020,Agosto,Sábado,29/08/2020,4,Homicidio,Siniestro Vial,,Villa Soldati,8.0,-34.655546,-58.438505,1.0
40,HC-2020-0499647,2020,Agosto,Domingo,30/08/2020,4,Homicidio,Siniestro Vial,,Palermo,14.0,-34.583459,-58.406178,2.0
41,HC-2020-0502918,2020,Septiembre,Martes,01/09/2020,19,Homicidio,Siniestro Vial,,Mataderos,9.0,-34.66342,-58.493243,1.0
42,HC-2020-0516913,2020,Septiembre,Sábado,12/09/2020,3,Homicidio,Siniestro Vial,,Retiro,1.0,-34.578475,-58.385661,1.0
43,HC-2020-0539205,2020,Septiembre,Lunes,28/09/2020,1,Homicidio,Siniestro Vial,,Parque Chacabuco,7.0,-34.634916,-58.447505,1.0
44,HC-2020-0542558,2020,Septiembre,Martes,29/09/2020,17,Homicidio,Siniestro Vial,,Villa Lugano,8.0,-34.681924,-58.467457,1.0
45,HC-2020-0544492,2020,Septiembre,Miércoles,30/09/2020,17,Homicidio,Siniestro Vial,,Retiro,1.0,-34.597139,-58.371807,1.0
46,HC-2020-0550936,2020,Octubre,Lunes,05/10/2020,0,Homicidio,Siniestro Vial,,Caballito,6.0,-34.622072,-58.427799,1.0
47,HC-2020-0571561,2020,Octubre,Lunes,19/10/2020,3,Homicidio,Siniestro Vial,,Villa Riachuelo,8.0,-34.70374,-58.461222,1.0
