"Marca temporal","¿Cuántas personas de tu familia cercana (incluyéndote) tocan algún instrumento musical?","SI es asi, seleccione cuales de estos instrumentos se tocan"
"2021/06/17 9:05:49 a. m. GMT-3","0",""
"2021/06/17 9:06:00 a. m. GMT-3","2","Guitarra;Piano"
"2021/06/17 9:06:15 a. m. GMT-3","1","Guitarra"
"2021/06/17 9:06:32 a. m. GMT-3","1","Guitarra;Piano"
"2021/06/17 9:06:51 a. m. GMT-3","0",""
"2021/06/17 9:06:56 a. m. GMT-3","1","Guitarra"
"2021/06/17 9:09:00 a. m. GMT-3","0",""
"2021/06/17 9:09:37 a. m. GMT-3","3","Guitarra;Piano"
"2021/06/17 9:11:08 a. m. GMT-3","2","Piano;Flauta"
"2021/06/17 9:11:46 a. m. GMT-3","Mas","Guitarra;Piano;Bajo"
"2021/06/17 9:12:10 a. m. GMT-3","2","Guitarra;Piano;Clarinete"
"2021/06/17 9:14:18 a. m. GMT-3","1","Piano"
"2021/06/17 9:17:10 a. m. GMT-3","3","Piano;Bajo;Ukelele"
"2021/06/17 9:45:03 a. m. GMT-3","3","Guitarra;Piano;Bateria"
